filename,audio_only_prediction,video_only_prediction,audio_video_prediction
erst_0284-0323,Den Klasst erstmal.,Er mit macht ich das Prenzbels.,Das hat die masse war.
etwas_0057-1060,(Lachen) etwas.,(Applaus),(Lachen) etwas.
etwas_0071-1099,Irgen wir auch mal was.,(Applaus) (Musik),Immer auch mal was zuhören.
etwas_0091-1199,Natürlich etwas etwas etwas.,Vielen Dank.,Natürlich etwas etwas ein Kont.
etwas_0116-1354,"""Werden, was gibt.""",Denken Sie das noch.,"""Ich bin ja, was man."""
etwa_0005-0809,Er war ein:,(Lachen) (Musik),Es war ein Eins.
etwa_0015-0822,Hier ist die Wirtschaft.,(Applaus),Hier ist die Wirtschaft.
etwas_0101-1266,"""Wir sehen sie neu, das sehen in Iud.""","""Ganzt erste von Woch.""""""",Deswegen kennen heute hinten.
etwas_0113-1345,"""Ich habe am Ende, das sehen.""",Das ist der Bilder in diesem Gehirn.,"""Ich habe dann, dann können es singen."""
etwas_0108-1318,Irgendwass gekommen.,"""Höt immer mal was nunmen.""""""","""Ohgendwas wird hören, was ist hören?"""
etwas_0127-1392,Das ist guckisch sowas.,Also recht von uns ohne Leute leduan.,Das ist sowas.
etwas_0129-1405,"""(Englisch) """"Es ist ein etwas besser"""".""""""",Was machide uns nicht mehr auseinander?,"""Sches etwas bessere?"""""""
etwa_0018-0827,Also entfoche sind also in zwei Wochen.,Das geht nicht mein Wohn.,Also ganz zwei Wochen.
etwa_0160-0018,Das ist ungefähr im Matwasikel.,(Applaus),Das ist etwas etwas?
etwa_0166-0025,Das ist ungefähr der Klick.,(Applaus) Wehl!,Das ist ungefähr der Kit-Abher.
etwa_0172-0033,Das ist morte zum uns.,(Applaus),Das ist morte zum uns.
etwa_0182-0041,So wäre es jetzt verdenkbar?,Vielen Danke Menschen von epp an die Ipp.,So wäre es etwas denkenbar.
etwa_0225-0071,Der Rold 200.,Vielen Dank.,Der Wold etwas 20.
etwa_0206-0059,Diftigen von etwas 66.,Was nun hatten wir sich vorhineht geregt?,Diftigen von etwas 66 6.
etwa_0243-0090,(Lachen),Vielen Dank.,(Lachen)
europa_0040-0184,Das war über Europa strechen.,Und oben ob ist obe sind?,Ihr könnt's so0.
europa_0039-0885,"""(En, oben, oder?""","""Also nur unalebt, lebt.""","""Kaln, ob vor allem."""
europa_0039-0903,Wir lunen hier von Europacht.,(Applaus),Wir lunen hier von Europacht.
europa_0039-0859,Ine Ropa sind Rompa.,"""Das sind wärkreibal höne, auch einige in",Genaupauch!
europa_0041-0232,Menschen sind Menschen Europa.,Sie sind die Oblebsindern -- Obrüberke,Menschen können einen Opa.
europa_0040-0214,Und auch daupasiert.,"""Reufe sind einen neuen Gländeren, die vorhin",Wir noch mach das Leben.
europa_0040-0185,Nach einer Roba.,"""Ohopa, obbar, mapachte Dromaer",Nach einer Komatruckte.
europa_0041-0240,Design ist Design undpakt.,"""(h, eine Kohltspiel, an dem Bielusor",Sein Apadruck.
europa_0041-0272,"""Er ist ungefähr, oben, Europadisch.""",(Applaus),"""Er ist ungefähr, oben, sopadisch."""
europa_0041-0290,Abuhrchne da auch robacht.,(Applaus),Ab konnten an der Ohlen.
fall_0004-1545,Er ist der Fall und.,Klasserde sind die Perflos.,Wach ist dafall und.
fall_0016-1560,Bot im Salle von Saltan.,(Applaus) Wohl!,Bot im Sale von Olen Roch.
fall_0163-0055,Oder Fal.,(Applaus),Oder Fal.
fall_0017-1562,Viele findet es Ausdrücklich.,(Applaus) (Musik),Kinde das Ausdrücklich.
fall_0162-0049,Eine folge in der Ulen.,(Lachen),Eine falde ist die lachen.
fall_0185-0081,Gar keine Freund!,(Applaus),Gar keine Fall!
fall_0202-0107,Das sind 2.,(Applaus),Das sind 2.
fall_0196-0100,Die Anwöhung.,(Applaus),Die Anwöhung.
fall_0212-0124,Ich habe gerade gesagt ist.,(Applaus),Ich habe gerade gesagt ist.
fall_0212-0123,In jedem Fall ist in jedem Sals.,(Applaus),In jedem Fall ist in jedem Sals.
falsch_0022-0134,Ein war ein falschreich!,Vielen Dank.,Es war ein freies Falschrang über.
falsch_0036-0144,(Applaus) Danke schön.,Das ist ungefähr im Herkund.,Das ist ungefähr.
falsch_0046-0160,Aber ne ist der Minister.,(Applaus),Aber nun ist der Minister.
falsch_0074-0167,Lass ist Falsch.,(Applaus),"""""""Wir ist falsch, wenn totschalsch, wenn sie ver"
falsch_0084-0173,Die unserem Falschritt.,Wons in den Welten Entscheidungen.,Die unserens hat es falschritt.
falsch_0112-0207,Sie ganz fallen Sie ganz fald.,Zunder Menschen nicht hergestellt.,Ich ganz falltestvoll.
falsch_0129-0221,"""Ich etwas etwas falschmachen.""",Vielen Dank rund über den Ont.,Ich etwas etwas falsch machen.
falsch_0151-0248,"""Goßt ist falsch.""""""","B. hote Menschen sind hochstolle, die man auch Meinen St",Das ist großsäus.
falsch_0161-0260,Nur beim Fallen.,Vielen Dank.,Nurch geht nur auf Faall-Scha.
falsch_0173-0269,(Beifall),Das ist ungefähr.,(Roboterstimme) Hallo allerseits!
fast_0007-0961,Wie fast alle?,Liemand ruarig lechte nen.,Wie fast alle?
fast_0005-0957,Ihr Hohlst nach dem 5 Mul.,Was nunvt meine Fliter dreben für vollen Vorde,Im Hochsomben Shockie Mohn.
fast_0079-0570,Das war fast eine Punkt.,(Lachen) (Musik),Das war fast eine Punkt.
fast_0010-0967,Komport man fast auf den Ohrt.,Schreiben Sie auf der Kanferen.,Komport man fast auf denkt.
fast_0144-0004,Städte sind Million.,Das ist die Millionen mit diesem Millionen.,Städte sind Million.
fast_0198-0081,"""Spitt, abgeschrieben.""",Wochte totschulte Loten.,Won für Bar ab geschrieben.
fast_0258-0130,Wir haben es fast geschafft.,Vielen Dank.,Wir haben es fast geschafft.
fast_0226-0113,"""Deswegen werden fast rücst.""","(E, weil das weiß vom Vehlen.",Der wegen Werte.
fast_0277-0147,Daben wir auch fast zwei.,Habill ohne Wundlichen Rott?,"Warum, wir auch fast Zweiten."
fest_0000-0812,Über ich aber fest davon über.,(Applaus),"""Ich bin nicht, fest davon über."""
fast_0294-0175,Das war der letzten fast drei.,"""Schön ziel, lässt du nen",Sie fahrs fast drei fast 3.
fest_0137-0003,Del Ganft für dem Fregt.,Ertaten die vertritten?,Stellt Dank fest festverstiellt.
fest_0137-0004,Und es auch nicht.,(Applaus),Und ich auch west du.
fest_0161-0029,Sie werden noch fest.,Welte Runde schön.,Sie werden noch fest.
fest_0141-0010,Aber ich finde von Zeu in Zeu.,Und so tun.,Aber nicht nunig ist von Zülle Weltung.
fest_0176-0042,Ich habe mir fest vorge.,Ich habe die Niebo in den Olrentation.,Ich habe mir fest vorge.
fest_0189-0051,Das ist eingestoge.,Was ist ein welson der Rändeht an Zolteren,Das war das fest eingeb.
fest_0194-0063,Haben wir seiden die Lenge?,(Echter),Haben wir seiten lange.
fest_0219-0485,Es stellen Sie fest.,Vielen Dank.,Es stellen die fest.
fest_0223-0096,Gradischst du fest fest.,Was ist denn nicht?,Gradiert fest fest.
finden_0050-0261,Das ist nicht zu finden.,(Applaus),Das ist nicht zu finden.
finden_0002-1866,Was sagt man hier zu finden.,Haben wir haben wir noch verwehlten.,Was sagte zurfinden cpp.
finden_0084-0309,Hier war es auch eigentlich.,Denn Dank lernt.,Weln Dank.
finden_0083-0308,Also nutlich zu finden.,"""Das ist Wunde nicht, ohne Leuten Dank.""",Warum seutlich zu finden.
finden_0143-0399,Das sind ungefähr im Hause.,(Applaus),Das ist ungefähr.
finden_0092-0327,Was hat ungefähr.,Deiter geht es nicht vor.,Ich habe einen Ziepholussen.
finden_0121-0365,Der Lösung finden es ganz.,"""Es sind die Leute, die wir in der Länder.""",Der Lösung finden finden.
finden_0151-0417,Es ist ein Lankfimmerstellen.,Wir nerht einem Ipplatz.,Es ist ein langfriert.
finden_0173-0459,Das findet mit UNbothisch.,Lesswand nimmt lechtem grens,Das findet sie boten.
finden_0183-0473,"""Eine Lat, geschimpfind.""",Vielen Dank.,"""Eine Lin, eine Beschung finden."""
finde_0057-0479,Jetzt findet diesen Zu.,Vielen Dank.,Ich findet diesen Zuge.
finde_0055-0477,"""Schöntwändert, (Entlich.""","""Schön, wir nunnen.""",Schönfinde.
finde_0100-0545,Und ich finde grundde.,Was machen diese Leute?,Und ich finde grunde.
finde_0096-0537,Sie fummt nicht finde das Design.,Briebisch wäre lassen lassen.,Troch mich finde das nur nicht.
finde_0108-0575,"""Ich finde, ich finde, das ist.""",(Applaus),Und das findet das nicht.
finde_0129-0636,(Lachen) Ich bin...,(Lachen) (Musik),Ich will Ihnen (Mpholl.
finde_0129-0637,Ihr macht die Stunde.,Also ganz man.,Wie finde.
finde_0156-0719,Das ist ungefähr.,Das ist eine Vertruckensversuch.,Das ist ungefähr.
finde_0156-0724,Das bin wir davon.,Sie sind diese Leute.,Ich finde das finde.
finde_0132-0649,Wir sind total entgalen.,"""Das sind wir nicht evint, sondern lechte?""",Wir überlegten total.
fordern_0014-0965,Und sie vor allem hier?,Liemand ruar lecht von linlich,Und sie vordern hier.
fordern_0040-0154,"""Er ist the die Fahre.""""""",(Applaus),"""Er fuhrt sich, cinkümadioiste."""
fordern_0103-0199,Mehrweren im Cenot von Roten.,Levoch -- Noch hoch-Alkoch.,Mehr Phrter.
fordern_0106-0206,Wir sehen ausprobieren.,Vielen Dank.,Das machen ausprobieren aus.
fordern_0111-0211,Wieder vor allem die Duden.,Da kann man auch noch nicht freundlich nicht.,Wieder vor allem die Duden.
fordern_0121-0219,Warte ren Sie auch.,(Englisch) Worlken.,Warte von Frauen.
fordern_0138-0236,Wir fordern.,Wir haben also nicht ausprobieren.,Wir fordern und wordern.
fordern_0165-0256,"""Ihrehrme in Bale.""""""","""Tate Sie nicht mehr hin?""""""","""Ihrefahr, da einmal war."""
fordern_0166-0257,Les sagte vornortzt.,(Applaus),Wes sagte vornortzt.
fordern_0183-0268,Wir haben drin schworder von Vor.,(Applaus),Wir haben also in Vorder in Form.
form_0002-0714,Auch in Formen gewonnt von Gewinnen.,"""Owne Menschen, die man in Formen Wort.""",Auch in Form von Form von Wendern.
form_0007-0719,Und mir sind auch vor dem Schützen.,Wir machen auch bereum eine Schulsschuls.,Wir fuhren auf Formen Schützen.
form_0015-0728,Die fanden ist es gewonnt.,Was kann man nicht vom vom Spiels bei diesem Krübter.,Der Form von einem Form vermieden.
form_0188-0033,Ich gehe nicht.,(Applaus),Ich gehe nicht.
form_0220-0068,(Applaus) Woll.,Danke schön.,Also ist davon?
form_0198-0052,Wir fand das aber auch.,Ich habe seit einem Jahr im Rote davon im Mut.,Wir sagt damitt von auch.
form_0147-0008,Auch im taumenbund von.,Das machen die Form von dem Mitiversität.,Auch in Form von Bezauberen Bezw.
form_0269-0110,Welter Form hut.,Das ist ungefähr im Hiekan.,Oder auch.
form_0254-0088,Wir haben bereitn wir recht in jeder.,Sie sind diesen Umbeseite.,Wir sind intern gerecht in jeder.
form_0262-0095,"""Die nehmen auch eine Form, da hat.""",Sie sind auch die Vornkreis bei der Voran.,Es sind noch in Formen an die Sonnen.
fragen_0084-0376,Um diese Frage zu stellen.,"""Die Homme von Beladen zu raten,?""",Um diese Frage zu stellen.
fragen_0108-0421,Man kann uns fragen?,(Applaus),"""Sie können wärktion."""
fragen_0084-0382,Die Frage ist die Frage ist.,Vielen Danke Menschen ändert lesen.,Und die Frage ist.
fragen_0135-0470,Das sind unfragen.,Hoch.,Das sind unfragen und fragen.
fragen_0124-0453,Hier Minksam.,"""Schon, gerannt in Schult, nunen",Aus hatischen Fragen stellen.
fragen_0138-0477,Wir ist ja ein Fragen geworden.,"""Klar, gernt ihr Wocher, all diese W","Ja, wir fragen in Fragen: Worgen."
fragen_0153-0493,"""Jetzt kommen man die Frage, wie?""",Was nervanter ich?,"""Da kommen man die Frage, wie?"""
fragen_0178-0542,Jetzt guckt jetzt?,Vielen Dank.,Jetzt fragen jetzt fragen.
fragen_0189-0575,Das war fragen.,(Applaus),Das war fragen.
fragen_0190-0581,Jeder weiß war ich nicht.,Bleibhagen wir nicht.,"""Es geht wäter mal fragen, ob wir nicht?"""
frage_0031-0764,Das ist die Frage.,Oder die Wärchen.,Und die Frage: Warum.
frage_0037-0808,Die Frage ist die Frage: Hier cie.,(Applaus),Die Frage ist die Frage: Hier cie.
frage_0031-0772,"""Ohne Frage, ohne Open.""",Oder ändert euch?,Odere Frage: emotion.
frage_0041-0825,Lasser der Frage.,Welwar hat eigentlich nicht.,Von der Frage.
frage_0049-0862,Aber die Frage ist wie.,Leiner habe ich nicht gewannt.,Aber die Frage ist wie.
frage_0049-0863,"""Klar, ich mich dann schon.""",(Applaus),"""Klarichte ich mich, frage ich mich."""
frage_0084-0989,Bis 20 Frage.,(Applaus),Bis 20 Frage.
frage_0049-0864,Manchmal fragen wir mich das.,Also war man nicht mit diesem Spielkiesen.,Manchmal frage ich mich.
frage_0100-1076,Ich frage Sie?,(Applaus),Und ich fragen Sie?
frage_0100-1078,In der Frage.,Was ist denn nicht?,Und der Frage.
fraktionen_0031-0282,(Applaus) Das Reaktion von Dählen.,(Applaus),Das ist der Reaktion von uns.
fraktionen_0057-0347,Das ist Craktition.,Vielen Dank.,Das war Craktition.
fraktionen_0124-0472,Das ist ungefähr.,(Applaus),Das ist ungefähr.
fraktionen_0105-0455,Die Keinktionen Zeuen.,Vielen Dank rund Ziemlich in die Zieklich,Wir waren keinen Fakttionen.
fraktionen_0085-0414,Das tragen: Zagen hier vor.,"""Schanzt auch, was du blicken.""",Die tragen: Jachnimmt so voll.
fraktionen_0132-0496,Der Folktion Ziel.,Vielen Dank.,Der Fakttion nuarltion zieht.
fraktionen_0143-0505,Das hat auch der Fraktion der Zieht.,(Applaus),Das hat auch der Fraktion der Zieht.
fraktionen_0161-0532,Kollegen von der Theu?,(Applaus),Kollegen von der ZeuT.
fraktionen_0167-0550,Hab mir haben die Faktoenehen.,Was ist denn grundwohndig?,Hab mir Faktoren wocehen.
fraktionen_0175-0565,Das ist der Fakt zu Ziel in der Ziel.,(Applaus),Das ist der Fakt zu Ziel ins 10.
fraktion_0024-0501,Also gibt es eine Faktion.,Dann mache man von roberen an.,Also gibt es eine Faktion heut.
fraktion_0025-0503,Woch ist der Paktion der?,(Applaus),Woch ist der Faktion der Faktion von?
fraktion_0031-0534,Letzte Bo.,Vielen Dank.,Der Kodio.
fraktion_0027-0521,Das freue ich das Wort ein wenigel.,Was nun hatten wir die großen!,Das freue ich das Wort ein wenige.
fraktion_0042-0573,Wortwort von den Hinteren: die anderen gegangen.,(Applaus) Wund.,Wortwort für die Hinter?
fraktion_0048-0592,Das sind der Fakttion der Faktion gelingt.,(Applaus),Das sind der Fakttion der Faktion gelingt.
fraktion_0062-0668,Wer hat Nunft.,(Applaus),Wer von den Paktion.
fraktion_0061-0653,Über den jede Faktoren nichts zu laufen.,Und nervt wirklich die Leute vor Röhnung.,Es geht die Efragt nun die Zula.
fraktion_0084-0765,Das ist ungefähr.,Vielen Dank.,Das ist ungefähr.
fraktion_0096-0799,Jeder Person ist 3 Minschiff.,Das sind ungefähr und ein Ol-Wischenschätzen.,Jede Fagtion 3 Wünsche.
frankfurt_0037-0362,Das funktioniert recht nicht schon -- Hier Min.,(Applaus),Das frankworte schon: Viele Kiviicher.
frankfurt_0049-0389,Wie macht man hier?,So einfach war wundig.,Wieder fragt man das?
frankfurt_0075-0414,Wochst tatsächlich nicht.,Dennen Sie nicht vorher?,Klar Folgt durch.
frankfurt_0107-0462,Es ist man anders veranders.,(Applaus),Es ist man anders verandert.
frankfurt_0188-0577,Als ich in Frankort nicht.,(Applaus),Als ich in Frankort nicht.
frankfurt_0176-0568,Heute ist es heute.,B. von einem anderen von Anten wunktionen von Rund,Heute ist es heute in Fragen Fortz.
frankfurt_0196-0591,Zum Beispielscheint Frankurt.,"""Ich nune Ihnen die Hehlen, rundlich.""",So mal schön Freinkwort.
frankfurt_0295-0712,Der Fandfort mit einem Frankreit mit einer.,(Applaus),Auch in Frankwort miteinander.
frauen_0008-1217,(Applaus),Was ist die Hote?,Diese Frauen sind von Meer.
frankfurt_0227-0636,Das sind Krankwortzel dre.,Heute mach einem wanboten wegen.,Im Frankwort: Wer rehren.
frankfurt_0315-0764,Die Antwort von Frankurt mit dem.,Der Leute wollen man an Anten.,Die Antwort mit fragen woruht mit.
frauen_0025-0222,"""Wir der Weinung, das ist.""",(Applaus),"""Wir der Weinung, das ist."""
frauen_0052-0254,Viele ging es Frauen.,Vielen Dank.,Gegen Frauen.
frauen_0146-0341,Das ist von Frauen in Frauen.,Das ist von Frauen gefauen.,Von von Frauen in Frauen.
frauen_0237-0375,Sie sind den Frauen.,(Applaus),Sie sind drauen.
frauen_0237-0379,Wenn Sie sich nicht vor dem Ohn?,Was ist ungefähr?,Wenn Sie sich beispiel zu?
frauen_0265-0425,Also sind die Frauen in Frauen  Frauen.,Vielen Dank.,Also sind die Frauen wie Frauen  Frauen.
frauen_0284-0447,Auch drauen und Mick.,Haben wir die Woluholung.,Der Frauen und mich.
frauen_0356-0486,Zwischen Frauen.,(Lachen) Womut.,Zwischen Frauen nur Männer.
frau_0141-0059,(Applaus),(Applaus),(Applaus)
frauen_0340-0464,Der letzten Danke sind cünkel.,Weil sie sind schließt.,Der verdienen Statt.
frau_0142-0071,Der sitzt der Frau auch leser.,(Applaus),Der sitzt auf Häse.
frau_0149-0152,Das funktioniert verstatt euch nicht.,Vielen Dank.,Das funktioniert von euch?
frau_0162-0244,(Applaus) Follegen.,Das ist ungefähr im Hoch.,Das ist ein Kollegegen.
frau_0166-0287,Dann los!,Vielen Dank.,Der Volglos.
frau_0163-0268,Das war der Mächst rexstör.,Vielen Dank.,Das war der Statstisch.
frau_0166-0293,Das ist ungefähr vorweg.,(Applaus),Das ist ungefähr vorstöhlt.
frau_0168-0302,Er hat 1 ein gelährt.,Vielen Dank.,Er hat Sie auch nie?
frau_0183-0393,Der Leute hat das heute woch.,Was nun hatten wir sich vorstandlich lechtlich von Zie,Der Leute hat es heute Forschott.
frau_0188-0445,Sie ist ein Spannend.,(Applaus),Sie haben spannend.
freien_0009-1440,Auch ich immer im Mog.,Das ist rechte Frage von einem Rott.,Das ist freis: Freit es rewokrat.
freien_0060-0937,Loch das freindemokraphi.,(Englisch) Wenne Menschen in diesem Leben.,Lers in der frei.
freien_0062-0205,"""Bitte Fein, das runter.""",(Applaus),"""Bitte Fein, das spreisch dane."""
freien_0105-0261,Das ist groß Aaken.,(Applaus),Das ist groß Aaken.
freien_0117-0282,Duwerb uns kein Marktell.,Vielen Dank.,Wer werden dieser Betrig?
freien_0125-0293,Sohal ist einige Freithal.,(Applaus),So sind die Freundehmokran.
freien_0128-0299,Das sind 1 starklich organganis.,Vielen Dank.,Gesen zur Stadtlich organganis.
freien_0156-0337,Das gibt schon ein frei.,(Applaus) Wolken.,Das macht uns bei demokrad.
freien_0179-0959,"""Schon, der Feinde Moch.""",(Applaus),"""Schonde Fein, cuck."""
freien_0174-0379,Das ist Nalt ihr bei Ilterenthalt.,(Applaus),Das ist Nalt ihr von den alltan.
ganze_0001-1174,Das ist der ganze Rai.,(Applaus),Das ist der ganze Rai.
ganze_0053-0204,Das war ein ganzemenge.,(Applaus),Das war ein ganzem Mege.
ganze_0003-1178,Der ist eine ganze Rengeiseit.,Das sind der Nengerinungen nicht.,Der ist eine ganze Rensterrei.
ganze_0056-0209,Sie eine ganze Linge aber eine ganze Wöll.,Vielen Dank.,Sie eine ganze Befölgt.
ganze_0105-0239,Aber es märz geht oder.,Wir haben ein mangen Monaten Monaten Monate erzählen Monat,"""Ohk, was Merz gehen oder."""
ganze_0113-0254,Das war ich ganze Belegtion.,Das ist eine Gehlischer Unterdingskiologisch?,Das ganz das ganze will ich das ganze Belegt.
ganze_0118-0262,Das singen das die ganze Welt.,(Applaus),Das nehmen wir die ganze Welt.
ganze_0123-0266,Wer will das ganz zum ganz.,(Applaus),Wer wird das ganze Maus?
ganz_0148-0059,Wir wissen ganz viel.,(Applaus),Wir wissen Kling.
ganze_0153-0297,Das war ganz einfach.,Das ist ungefähr im getritt.,Das war ganz einfach: Blatt.
ganze_0198-0362,Es gibt es eine ganze Menge zu.,Und nun ist das Lande machen?,Es gibt eine ganze Menge so.
ganz_0156-0107,Dann ist ein ganz Deutsch.,"""Kanzt jetzt die deingedingt, ganz in Deutschland.""",Wir dann ganz kurz.
ganz_0158-0110,Das war ganganz Deutsch.,Das ist der Stunde stell.,Das war ein ganz Deutsch.
ganz_0160-0122,Sie sind ganz viele Glitz viele.,(Applaus),Sie sitzen ganz viele.
ganz_0176-0248,Das funktioniert ganz.,(Applaus),Das funktioniert ganz gut.
ganz_0162-0140,"""Es geht auch nicht gernst du darf.""""""",Das ist der Zugrüfung gehabt.,Das geht auch nicht ganz so da.
ganz_0183-0293,Das ist ganz klar.,(Applaus),Das ist ganz klar.
ganz_0162-0147,Das war ich das ganz besonder.,(Applaus) (Musik),Das war ich das ganz besonder.
ganz_0162-0150,"""(Applaus) """"Brawgehk!""",Eine Munde Standard.,Der Hehrst du dank.
ganz_0192-0344,Warum haben Sie ganz neue Rendig?,Das war der Gangedanken.,Allt haben Sie ganz neue entdeckt.
geben_0036-0428,Warum im Ill?,Das macht krebte in den Fall.,"""Ganz, leben Sie den Trapft."""
